"x","value"
249,-23.525759044077
250,-23.5201131645409
251,-23.5150375828579
252,-23.5105176481744
253,-23.5065392397145
254,-23.5030899592595
255,-23.5001563170661
256,-23.4977247763821
257,-23.495784162199
258,-23.4943236754112
259,-23.4933316810335
260,-23.4927951044231
261,-23.4927018939565
262,-23.4930425978617
263,-23.4938103488063
264,-23.4950008705678
265,-23.496613449904
266,-23.4986504864365
267,-23.5011165259821
268,-23.5040159566502
269,-23.5073542773229
270,-23.5111383581412
271,-23.5153768133187
272,-23.5200791849208
273,-23.525254091593
274,-23.5309076108247
275,-23.5370409520521
276,-23.5436502983883
277,-23.5507247835533
278,-23.5582498036435
279,-23.5662096239778
280,-23.5745895921779
281,-23.5833718202272
282,-23.5925362143679
283,-23.6020649429201
284,-23.61194186853
285,-23.6221508133977
286,-23.6326739852004
287,-23.6434921974912
288,-23.6545858928002
289,-23.6659347417743
290,-23.6775187964323
291,-23.6893167871466
292,-23.7013070215776
293,-23.7134676937412
294,-23.7257787785811
295,-23.7382236894008
296,-23.7507886973676
297,-23.7634631058927
298,-23.7762338764757
299,-23.7890832733531
300,-23.8019887142428
301,-23.8149253558236
302,-23.8278689843557
303,-23.8407952024667
304,-23.8536757804995
305,-23.8664808208065
306,-23.8791795532385
307,-23.8917406125991
308,-23.9041272766589
309,-23.9162977103537
310,-23.9282036281406
311,-23.9397927306441
312,-23.9510047272218
313,-23.9617711030874
314,-23.9720168112405
315,-23.9816644542952
316,-23.990635485189
317,-23.9988496056938
318,-24.0062249991371
319,-24.0126821832539
320,-24.0181435081666
321,-24.0225372537975
322,-24.0258020859484
323,-24.0278851214374
324,-24.0287426184645
325,-24.0283364877571
326,-24.0266320891315
327,-24.0235939134688
328,-24.0191929674206
329,-24.0134025337571
330,-24.0061924795589
331,-23.9975286827963
332,-23.9873801382011
333,-23.9757208386114
334,-23.9625297836609
335,-23.9477873760616
336,-23.9314758895297
337,-23.9135750441245
338,-23.8940667639937
339,-23.8729311687959
340,-23.8501470733267
341,-23.8256900471255
342,-23.7995276031531
343,-23.7716233381937
344,-23.7419355773074
345,-23.710423845936
346,-23.6770513684612
347,-23.641784208974
348,-23.6045836132185
349,-23.5654058862357
350,-23.5242012208245
351,-23.4809202445792
352,-23.4355122447355
353,-23.3879256825925
354,-23.3381077465969
355,-23.286011357487
356,-23.2315938763225
357,-23.1748172356521
358,-23.115642758841
359,-23.0540370215416
360,-22.9899724112575
361,-22.9234273500507
362,-22.8543825465839
363,-22.7828184626358
364,-22.7087155102126
365,-22.632052910552
366,-22.5528017204831
367,-22.4709274458594
368,-22.3863852807793
369,-22.2991182000436
370,-22.2090605020234
371,-22.1161382449255
372,-22.0202720556017
373,-21.9213772281655
374,-21.8193683518244
375,-21.7141506165801
376,-21.6056280268071
377,-21.4937058730794
378,-21.378294249192
379,-21.2592971824567
380,-21.1366120589684
381,-21.0101333241993
382,-20.8797567221351
383,-20.7453775172659
384,-20.6068952440107
385,-20.4642068655495
386,-20.317214550558
387,-20.1658236178652
388,-20.0099434675862
389,-19.8494923282401
390,-19.6843938624792
391,-19.514579142936
392,-19.3399846739614
393,-19.1605483732352
394,-18.976210731266
395,-18.7869235536473
396,-18.5926470706237
397,-18.3933521797311
398,-18.1890131119568
399,-17.9796085381473
400,-17.7651221306832
401,-17.5455426760728
402,-17.3208584178815
403,-17.0910597120596
404,-16.8561409294207
405,-16.6161070544413
406,-16.3709696893029
407,-16.1207451753326
408,-15.8654501682576
409,-15.605102538008
410,-15.3397235803633
411,-15.0693394113881
